"price","room_type","minimum_nights","number_of_reviews","calculated_host_listings_count","borough","pay_2024","crime_rate"
43,"Private room",2,42,1,"Barking And Dagenham",16.9,93.79
144,"Entire home/apt",3,113,3,"Barking And Dagenham",16.9,93.79
65,"Private room",3,335,1,"Barking And Dagenham",16.9,93.79
48,"Private room",2,8,1,"Barking And Dagenham",16.9,93.79
60,"Private room",2,95,1,"Barking And Dagenham",16.9,93.79
41,"Private room",3,32,5,"Barking And Dagenham",16.9,93.79
41,"Private room",2,27,1,"Barking And Dagenham",16.9,93.79
107,"Entire home/apt",5,44,1,"Barking And Dagenham",16.9,93.79
53,"Private room",3,71,5,"Barking And Dagenham",16.9,93.79
50,"Private room",2,14,1,"Barking And Dagenham",16.9,93.79
41,"Private room",3,9,2,"Barking And Dagenham",16.9,93.79
54,"Private room",4,127,2,"Barking And Dagenham",16.9,93.79
125,"Entire home/apt",3,54,3,"Barking And Dagenham",16.9,93.79
53,"Private room",2,20,2,"Barking And Dagenham",16.9,93.79
41,"Private room",2,29,1,"Barking And Dagenham",16.9,93.79
46,"Private room",2,194,1,"Barking And Dagenham",16.9,93.79
125,"Entire home/apt",4,35,2,"Barking And Dagenham",16.9,93.79
47,"Private room",2,17,2,"Barking And Dagenham",16.9,93.79
60,"Entire home/apt",3,25,1,"Barking And Dagenham",16.9,93.79
126,"Private room",4,12,2,"Barking And Dagenham",16.9,93.79
71,"Private room",3,29,1,"Barking And Dagenham",16.9,93.79
48,"Private room",1,8,1,"Barking And Dagenham",16.9,93.79
119,"Entire home/apt",3,32,3,"Barking And Dagenham",16.9,93.79
104,"Entire home/apt",2,152,1,"Barking And Dagenham",16.9,93.79
41,"Private room",2,5,2,"Barking And Dagenham",16.9,93.79
68,"Private room",5,38,1,"Barking And Dagenham",16.9,93.79
40,"Private room",4,36,6,"Barking And Dagenham",16.9,93.79
40,"Private room",4,46,6,"Barking And Dagenham",16.9,93.79
130,"Entire home/apt",3,11,7,"Barking And Dagenham",16.9,93.79
44,"Private room",3,38,2,"Barking And Dagenham",16.9,93.79
58,"Entire home/apt",4,23,1,"Barking And Dagenham",16.9,93.79
180,"Entire home/apt",3,9,4,"Barking And Dagenham",16.9,93.79
228,"Entire home/apt",2,53,2,"Barking And Dagenham",16.9,93.79
98,"Entire home/apt",1,6,80,"Barking And Dagenham",16.9,93.79
